# ppt
,Texas
TIMESTEP,MEAN(mm/month)
1900-01-01T00:00:00Z,3.2800436
1900-02-01T00:00:00Z,23.403114
1900-03-01T00:00:00Z,6.831732
1900-04-01T00:00:00Z,127.13728
1900-05-01T00:00:00Z,51.99703
1900-06-01T00:00:00Z,67.29417
1900-07-01T00:00:00Z,36.20355
1900-08-01T00:00:00Z,22.335815
1900-09-01T00:00:00Z,64.73347
1900-10-01T00:00:00Z,17.716986
1900-11-01T00:00:00Z,0.0033626303
1900-12-01T00:00:00Z,2.4173553
1901-01-01T00:00:00Z,5.2154355
1901-02-01T00:00:00Z,8.307805
1901-03-01T00:00:00Z,10.050056
1901-04-01T00:00:00Z,58.609924
1901-05-01T00:00:00Z,51.147804
1901-06-01T00:00:00Z,28.051453
1901-07-01T00:00:00Z,35.230095
1901-08-01T00:00:00Z,58.955376
1901-09-01T00:00:00Z,36.372566
1901-10-01T00:00:00Z,16.306265
1901-11-01T00:00:00Z,3.8585842
1901-12-01T00:00:00Z,1.1339927
1902-01-01T00:00:00Z,7.4536724
1902-02-01T00:00:00Z,6.1989055
1902-03-01T00:00:00Z,22.468687
1902-04-01T00:00:00Z,17.300198
1902-05-01T00:00:00Z,109.866844
1902-06-01T00:00:00Z,42.442013
1902-07-01T00:00:00Z,41.65161
1902-08-01T00:00:00Z,58.17111
1902-09-01T00:00:00Z,8.817827
1902-10-01T00:00:00Z,32.4319
1902-11-01T00:00:00Z,9.734402
1902-12-01T00:00:00Z,9.203741
1903-01-01T00:00:00Z,3.3517702
1903-02-01T00:00:00Z,68.630905
1903-03-01T00:00:00Z,4.1231413
1903-04-01T00:00:00Z,33.963203
1903-05-01T00:00:00Z,72.1577
1903-06-01T00:00:00Z,78.86906
1903-07-01T00:00:00Z,25.541317
1903-08-01T00:00:00Z,59.682316
1903-09-01T00:00:00Z,5.3806005
1903-10-01T00:00:00Z,25.35778
1903-11-01T00:00:00Z,6.367616
1903-12-01T00:00:00Z,0.8909492
